RS,celltype
1.484192,T cell
1.6822587,B cell
1.243566,T cell
0.9634596,Dendritic cell
1.6195891,T cell
5.0360627,B cell
1.4542292,T cell
1.1771044,Plasma cell
1.4419843,B cell
1.390053,T cell
1.6053442,Plasma cell
1.8880136,T cell
1.0829155,Plasma cell
1.2109945,T cell
1.0906888,T cell
1.0581836,T cell
2.1243122,B cell
1.0688154,pDC
0.7498222,B cell
0.9945862,T cell
1.4507574,B cell
0.9575449,T cell
0.83322537,Plasma cell
1.6087137,Dendritic cell
1.8229015,B cell
1.5552604,NK cell
1.2718257,Plasma cell
1.3431354,B cell
3.85328,Plasma cell
1.9888219,B cell
1.4752395,T cell
1.7607818,Macrophage
1.877063,T cell
0.6830197,B cell
1.5078704,T cell
2.0439515,pDC
1.505755,B cell
1.5158079,T cell
1.0913558,T cell
1.0291857,T cell
0.7701029,Plasma cell
1.4685513,B cell
1.096813,T cell
1.3143902,T cell
0.7739082,B cell
0.75209963,B cell
1.1073371,T cell
2.1256526,B cell
1.035409,T cell
0.9890583,T cell
1.0743759,T cell
1.7290682,B cell
0.8629042,B cell
2.0441582,NK cell
2.5879538,T cell
1.1263955,Plasma cell
1.3840584,T cell
1.3459523,T cell
1.3777418,T cell
1.2328218,T cell
1.1009964,T cell
1.4901773,T cell
1.8442159,T cell
1.5297837,T cell
0.6924554,B cell
1.5689868,T cell
1.320694,B cell
1.450115,B cell
0.8958991,Macrophage
1.1510485,B cell
1.0793506,pDC
1.4489744,T cell
1.8254516,B cell
2.0319402,B cell
1.8697039,B cell
1.0016859,Dendritic cell
1.0955682,Plasma cell
1.1061842,pDC
1.2207323,T cell
1.5200652,T cell
0.7761177,B cell
1.1831535,T cell
1.1836259,B cell
1.3875937,Macrophage
0.686588,Plasma cell
1.0869532,Plasma cell
1.0765265,T cell
1.6414684,B cell
1.402569,NK cell
0.7438537,B cell
1.2189648,T cell
1.0834152,B cell
2.2165272,B cell
1.0613085,Plasma cell
1.2085692,Macrophage
1.4254509,B cell
1.4068443,T cell
1.4043082,Plasma cell
1.255571,T cell
1.0435617,T cell
0.76525503,B cell
1.014896,T cell
1.2607659,T cell
1.746439,B cell
1.0861651,Plasma cell
1.0430583,B cell
1.2516063,T cell
1.2471365,T cell
1.2714416,B cell
0.9983445,T cell
1.2788916,Macrophage
0.7819104,B cell
