NPS,CBR,NeighborDispersion,Disruption,celltype,is_rare,batch,method
1.0,0.43333333333333335,0.09754974990355843,0.0,gamma,0,smartseq2,Harmony
1.0,0.26666666666666666,0.0946903594221112,0.0,gamma,0,smartseq2,Harmony
1.0,0.4,0.10967660377827941,0.0,gamma,0,smartseq2,Harmony
1.0,0.36666666666666664,0.10106143432125457,0.0,gamma,0,smartseq2,Harmony
1.0,0.2,0.12685091518022593,0.0,gamma,0,smartseq2,Harmony
1.0,0.5333333333333333,0.11594996374554799,0.0,gamma,0,smartseq2,Harmony
1.0,0.3333333333333333,0.09182150967631317,0.0,gamma,0,smartseq2,Harmony
1.0,0.7666666666666667,0.07793572278179148,0.0,gamma,0,smartseq2,Harmony
1.0,0.5666666666666667,0.09605734717709596,0.0,gamma,0,smartseq2,Harmony
0.8235294117647058,0.43333333333333335,0.09635634247540224,0.017004060436835694,gamma,0,smartseq2,Harmony
1.0,0.36666666666666664,0.10938602918217498,0.0,gamma,0,smartseq2,Harmony
1.0,0.2,0.10220124814449189,0.0,gamma,0,smartseq2,Harmony
1.0,0.43333333333333335,0.08284656170790099,0.0,gamma,0,smartseq2,Harmony
1.0,0.5333333333333333,0.07536285301650245,0.0,gamma,0,smartseq2,Harmony
1.0,0.7666666666666667,0.05871309712387334,0.0,gamma,0,smartseq2,Harmony
1.0,0.5666666666666667,0.06830104287047117,0.0,gamma,0,smartseq2,Harmony
1.0,0.5,0.10824656461387194,0.0,gamma,0,smartseq2,Harmony
1.0,0.3,0.1451391491912579,0.0,gamma,0,smartseq2,Harmony
1.0,0.5333333333333333,0.08128721794259401,0.0,gamma,0,smartseq2,Harmony
1.0,0.5666666666666667,0.10194823195102852,0.0,gamma,0,smartseq2,Harmony
1.0,0.3333333333333333,0.0986715866226141,0.0,gamma,0,smartseq2,Harmony
1.0,0.4,0.06041258438028898,0.0,gamma,0,smartseq2,Harmony
1.0,0.3333333333333333,0.09149161681632105,0.0,gamma,0,smartseq2,Harmony
1.0,0.23333333333333334,0.0763858736692302,0.0,gamma,0,smartseq2,Harmony
1.0,0.6,0.10988166197126521,0.0,gamma,0,smartseq2,Harmony
1.0,0.3333333333333333,0.10355776266576694,0.0,gamma,0,smartseq2,Harmony
1.0,0.23333333333333334,0.09809179652779385,0.0,gamma,0,smartseq2,Harmony
1.0,0.5333333333333333,0.08406825818854823,0.0,gamma,0,smartseq2,Harmony
0.95,0.3333333333333333,0.17447390871019486,0.00872369543550975,gamma,0,smartseq2,Harmony
1.0,0.3333333333333333,0.17000406653068345,0.0,gamma,0,smartseq2,Harmony
1.0,0.6,0.1351781920609861,0.0,gamma,0,smartseq2,Harmony
1.0,0.43333333333333335,0.10257892248858347,0.0,gamma,0,smartseq2,Harmony
1.0,0.2,0.14357000762025077,0.0,gamma,0,smartseq2,Harmony
1.0,0.6333333333333333,0.09134824449642177,0.0,gamma,0,smartseq2,Harmony
1.0,0.6,0.10212267298836397,0.0,gamma,0,smartseq2,Harmony
1.0,0.6333333333333333,0.0944979501708728,0.0,gamma,0,smartseq2,Harmony
1.0,0.3,0.14787089344605472,0.0,gamma,0,smartseq2,Harmony
1.0,0.26666666666666666,0.12234402077865977,0.0,gamma,0,smartseq2,Harmony
1.0,0.6,0.1036679277536759,0.0,gamma,0,smartseq2,Harmony
1.0,0.5,0.10823364231329183,0.0,gamma,0,smartseq2,Harmony
1.0,0.3333333333333333,0.10545803496828972,0.0,gamma,0,smartseq2,Harmony
1.0,0.43333333333333335,0.161540462235209,0.0,gamma,0,smartseq2,Harmony
1.0,0.6333333333333333,0.07596208881224349,0.0,gamma,0,smartseq2,Harmony
1.0,0.5666666666666667,0.1255178770229992,0.0,gamma,0,smartseq2,Harmony
1.0,0.5333333333333333,0.09237563816070546,0.0,gamma,0,smartseq2,Harmony
1.0,0.3,0.14461560252271147,0.0,gamma,0,smartseq2,Harmony
0.9473684210526315,0.36666666666666664,0.1202717056688187,0.006330089772043096,gamma,0,smartseq2,Harmony
1.0,0.3333333333333333,0.10152953857015261,0.0,gamma,0,smartseq2,Harmony
1.0,0.43333333333333335,0.12886664371645817,0.0,gamma,0,smartseq2,Harmony
1.0,0.43333333333333335,0.09758639869691453,0.0,gamma,0,smartseq2,Harmony
1.0,0.4666666666666667,0.10283539262684482,0.0,gamma,0,smartseq2,Harmony
1.0,0.4,0.15223765893581104,0.0,gamma,0,smartseq2,Harmony
1.0,0.4,0.12299571854173666,0.0,gamma,0,smartseq2,Harmony
1.0,0.5333333333333333,0.1332346482242758,0.0,gamma,0,smartseq2,Harmony
1.0,0.43333333333333335,0.1258691521958829,0.0,gamma,0,smartseq2,Harmony
1.0,0.7,0.06351045567798567,0.0,gamma,0,smartseq2,Harmony
1.0,0.6666666666666666,0.07527202494609439,0.0,gamma,0,smartseq2,Harmony
1.0,0.4666666666666667,0.09924393614361075,0.0,gamma,0,smartseq2,Harmony
1.0,0.3,0.1315133045836796,0.0,gamma,0,smartseq2,Harmony
1.0,0.3333333333333333,0.11735061231844444,0.0,gamma,0,smartseq2,Harmony
1.0,0.4,0.14432822200630954,0.0,gamma,0,smartseq2,Harmony
1.0,0.4,0.19100865787618343,0.0,gamma,0,smartseq2,Harmony
1.0,0.8,0.08425445166700732,0.0,gamma,0,smartseq2,Harmony
1.0,0.3,0.14668924835707875,0.0,gamma,0,smartseq2,Harmony
1.0,0.4,0.1020989626987336,0.0,gamma,0,smartseq2,Harmony
1.0,0.26666666666666666,0.21061878546384635,0.0,gamma,0,smartseq2,Harmony
1.0,0.3333333333333333,0.1532976223518204,0.0,gamma,0,smartseq2,Harmony
0.9411764705882353,0.43333333333333335,0.13936932046778125,0.008198195321634193,gamma,0,smartseq2,Harmony
1.0,0.16666666666666666,0.12828734776954842,0.0,gamma,0,smartseq2,Harmony
1.0,0.5333333333333333,0.08179810660223845,0.0,gamma,0,smartseq2,Harmony
1.0,0.0,0.19105829768125507,0.0,gamma,0,smartseq2,Harmony
1.0,0.06666666666666667,0.18199311913967026,0.0,gamma,0,smartseq2,Harmony
1.0,0.3333333333333333,0.08172366102500155,0.0,gamma,0,smartseq2,Harmony
1.0,0.2,0.1322068030155841,0.0,gamma,0,smartseq2,Harmony
1.0,0.3,0.12537957019708562,0.0,gamma,0,smartseq2,Harmony
0.9444444444444444,0.4,0.16291099740170692,0.0090506109667615,gamma,0,smartseq2,Harmony
1.0,0.3333333333333333,0.11117527687010235,0.0,gamma,0,smartseq2,Harmony
1.0,0.23333333333333334,0.1645103661783099,0.0,gamma,0,smartseq2,Harmony
1.0,0.3,0.167562680823226,0.0,gamma,0,smartseq2,Harmony
1.0,0.3,0.18531115231598214,0.0,gamma,0,smartseq2,Harmony
1.0,0.43333333333333335,0.09635170497228066,0.0,gamma,0,smartseq2,Harmony
1.0,0.4,0.10441043791251832,0.0,gamma,0,smartseq2,Harmony
1.0,0.36666666666666664,0.09902342678594284,0.0,gamma,0,smartseq2,Harmony
1.0,0.5666666666666667,0.09884468210809437,0.0,gamma,0,smartseq2,Harmony
1.0,0.36666666666666664,0.10602112232879969,0.0,gamma,0,smartseq2,Harmony
1.0,0.26666666666666666,0.17607362442625735,0.0,gamma,0,smartseq2,Harmony
1.0,0.2,0.19493021374516328,0.0,gamma,0,smartseq2,Harmony
0.9473684210526315,0.36666666666666664,0.23891522248544453,0.012574485393970778,gamma,0,smartseq2,Harmony
1.0,0.6333333333333333,0.1340768221801558,0.0,gamma,0,smartseq2,Harmony
1.0,0.3,0.20643104567245973,0.0,gamma,0,smartseq2,Harmony
1.0,0.7666666666666667,0.07107335013249085,0.0,gamma,0,smartseq2,Harmony
1.0,0.16666666666666666,0.21165970712749324,0.0,gamma,0,smartseq2,Harmony
1.0,0.6666666666666666,0.08940408228220582,0.0,gamma,0,smartseq2,Harmony
1.0,0.6,0.12818638719255032,0.0,gamma,0,smartseq2,Harmony
1.0,0.36666666666666664,0.13202217074864037,0.0,gamma,0,smartseq2,Harmony
1.0,0.4666666666666667,0.12882640931080053,0.0,gamma,0,smartseq2,Harmony
1.0,0.6,0.17960133070464127,0.0,gamma,0,smartseq2,Harmony
