celltype,post_cnem,cnem_delta,method
gamma,0.20187276601791382,0.010307729244232178,Harmony
gamma,0.20640408992767334,0.012524724006652832,Harmony
gamma,0.1752082109451294,0.018635928630828857,Harmony
gamma,0.17345356941223145,0.011755526065826416,Harmony
gamma,0.13570499420166016,0.006184518337249756,Harmony
gamma,0.21502679586410522,0.015429496765136719,Harmony
gamma,0.16013580560684204,0.004610300064086914,Harmony
gamma,0.1387481689453125,0.003186941146850586,Harmony
gamma,0.12128543853759766,0.0013426542282104492,Harmony
gamma,0.21000683307647705,0.008473694324493408,Harmony
gamma,0.17427009344100952,0.003082454204559326,Harmony
gamma,0.1844930648803711,0.0013775825500488281,Harmony
gamma,0.14932018518447876,0.012383043766021729,Harmony
gamma,0.17366772890090942,0.0027971863746643066,Harmony
gamma,0.19983506202697754,0.027514636516571045,Harmony
gamma,0.18483614921569824,0.01172727346420288,Harmony
gamma,0.15838658809661865,-0.002016007900238037,Harmony
gamma,0.16665393114089966,0.0015773773193359375,Harmony
gamma,0.21890008449554443,0.0002910494804382324,Harmony
gamma,0.12493419647216797,0.01145869493484497,Harmony
gamma,0.22456151247024536,0.002652883529663086,Harmony
gamma,0.22118782997131348,0.025657474994659424,Harmony
gamma,0.1386449933052063,0.014408588409423828,Harmony
gamma,0.1553444266319275,0.007856488227844238,Harmony
gamma,0.142181396484375,0.000978708267211914,Harmony
gamma,0.1487048864364624,0.010103940963745117,Harmony
gamma,0.16166245937347412,0.01627284288406372,Harmony
gamma,0.1777125597000122,0.00531923770904541,Harmony
gamma,0.18352603912353516,0.0065479278564453125,Harmony
gamma,0.20015668869018555,0.0028472542762756348,Harmony
gamma,0.18699288368225098,9.059906005859375e-06,Harmony
gamma,0.17000263929367065,0.003308117389678955,Harmony
gamma,0.19777679443359375,0.009366214275360107,Harmony
gamma,0.250174880027771,0.0031530261039733887,Harmony
gamma,0.2523145079612732,0.011932849884033203,Harmony
gamma,0.24804359674453735,-0.001830458641052246,Harmony
gamma,0.26236748695373535,-0.000897526741027832,Harmony
gamma,0.2688329815864563,0.018218636512756348,Harmony
gamma,0.2550097107887268,0.005165994167327881,Harmony
gamma,0.26638108491897583,0.008501827716827393,Harmony
gamma,0.22189581394195557,0.009636402130126953,Harmony
gamma,0.2528151869773865,0.013798654079437256,Harmony
gamma,0.2601975202560425,0.02424222230911255,Harmony
gamma,0.2716277241706848,0.0025292634963989258,Harmony
gamma,0.22590333223342896,0.004545807838439941,Harmony
gamma,0.24189352989196777,0.007288515567779541,Harmony
gamma,0.25256264209747314,0.0038362741470336914,Harmony
gamma,0.24404752254486084,0.003805220127105713,Harmony
gamma,0.25185084342956543,-0.0045566558837890625,Harmony
gamma,0.22628748416900635,0.007326245307922363,Harmony
gamma,0.2594146728515625,0.013558685779571533,Harmony
gamma,0.24609386920928955,0.0067054033279418945,Harmony
gamma,0.23771077394485474,-0.0027036666870117188,Harmony
gamma,0.2636725902557373,-0.0028383731842041016,Harmony
gamma,0.24744969606399536,-0.0006094574928283691,Harmony
gamma,0.28005343675613403,-0.0041457414627075195,Harmony
gamma,0.24437659978866577,0.005882143974304199,Harmony
gamma,0.25616341829299927,0.00784158706665039,Harmony
gamma,0.2182740569114685,0.0015507340431213379,Harmony
gamma,0.2212892770767212,-0.006318449974060059,Harmony
gamma,0.24212872982025146,0.0007717013359069824,Harmony
gamma,0.25472307205200195,0.0004538893699645996,Harmony
gamma,0.252899706363678,0.004672646522521973,Harmony
gamma,0.2873579263687134,0.022499263286590576,Harmony
gamma,0.2891053557395935,0.015451252460479736,Harmony
gamma,0.15076285600662231,0.002053201198577881,Harmony
gamma,0.14382022619247437,0.005455076694488525,Harmony
gamma,0.14764899015426636,0.004049360752105713,Harmony
gamma,0.10904943943023682,0.008538961410522461,Harmony
gamma,0.2832062840461731,0.023622572422027588,Harmony
gamma,0.14968889951705933,0.0007710456848144531,Harmony
gamma,0.11738049983978271,0.009702801704406738,Harmony
gamma,0.10704517364501953,0.0034038424491882324,Harmony
gamma,0.11237603425979614,0.00634002685546875,Harmony
gamma,0.13363665342330933,0.009340822696685791,Harmony
gamma,0.10778754949569702,0.00011098384857177734,Harmony
gamma,0.14240217208862305,0.011705875396728516,Harmony
gamma,0.11571025848388672,0.0,Harmony
gamma,0.11042594909667969,0.0004228353500366211,Harmony
gamma,0.16013723611831665,0.005110740661621094,Harmony
gamma,0.12655770778656006,0.003922462463378906,Harmony
gamma,0.11361968517303467,0.0006448030471801758,Harmony
gamma,0.1265506148338318,0.0004807114601135254,Harmony
gamma,0.1521974802017212,0.006106317043304443,Harmony
gamma,0.10450327396392822,0.004201948642730713,Harmony
gamma,0.12668395042419434,0.002630770206451416,Harmony
gamma,0.15609759092330933,0.002045571804046631,Harmony
gamma,0.13707572221755981,0.0037190914154052734,Harmony
gamma,0.1376863718032837,0.006263673305511475,Harmony
gamma,0.19191211462020874,0.003976106643676758,Harmony
gamma,0.15905815362930298,0.013220429420471191,Harmony
gamma,0.14838290214538574,0.0026472806930541992,Harmony
