post_cnem,pre_cnem,celltype,is_rare,batch
0.33996165,0.31164098,T cell,0,D5
0.28076196,0.22249609,B cell,0,D5
0.32249206,0.27417922,B cell,0,D5
0.2705549,0.1804477,B cell,0,D5
0.2783562,0.24332625,B cell,0,D5
0.41990983,0.3594392,T cell,0,D5
0.36099827,0.32625616,T cell,0,D5
0.2850058,0.27316892,T cell,0,D5
0.31634027,0.26025856,T cell,0,D5
0.14138007,0.14147186,Dendritic cell,0,D5
0.33430135,0.33901155,T cell,0,D5
0.36936957,0.21688652,Plasma cell,0,D5
0.30512613,0.28379256,T cell,0,D5
0.42550325,0.36117816,T cell,0,D5
0.24347007,0.18940854,B cell,0,D5
0.2527219,0.24418885,T cell,0,D5
0.23733187,0.20476246,pDC,1,D5
0.27697027,0.23890364,Dendritic cell,0,D5
0.34171146,0.205989,Plasma cell,0,D5
0.19047052,0.1767422,T cell,0,D5
0.24221724,0.13786751,B cell,0,D5
0.19962776,0.1813693,T cell,0,D5
0.38839698,0.3013401,T cell,0,D5
0.31785464,0.2542674,T cell,0,D5
0.24015093,0.16371119,B cell,0,D5
0.3056277,0.22863436,T cell,0,D5
0.3888312,0.381225,T cell,0,D5
0.16801786,0.12389159,Macrophage,0,D5
0.25434113,0.26116836,NK cell,0,D5
0.3376878,0.2937181,T cell,0,D5
0.22328675,0.18978143,B cell,0,D5
0.3455702,0.3183998,T cell,0,D5
0.29015034,0.26916897,T cell,0,D5
0.2856245,0.2443921,T cell,0,D5
0.20776272,0.17605317,Macrophage,0,D5
0.41931397,0.3202014,T cell,0,D5
0.3218515,0.27921253,T cell,0,D5
0.3487692,0.29440302,Plasma cell,0,D5
0.3112291,0.30843663,T cell,0,D5
0.33521664,0.33344322,T cell,0,D5
0.25779986,0.25475127,NK cell,0,D5
0.3194636,0.25530362,B cell,0,D5
0.3511291,0.30701077,T cell,0,D5
0.33863688,0.23953515,B cell,0,D5
0.35254455,0.3003373,T cell,0,D5
0.39664912,0.3224991,T cell,0,D5
0.34402394,0.30493933,NK cell,0,D5
0.35406268,0.2548951,B cell,0,D5
0.26100087,0.23581499,B cell,0,D5
0.40249932,0.33851236,T cell,0,D5
0.31646746,0.24204975,B cell,0,D5
0.22307813,0.18146324,pDC,1,D5
0.26981348,0.22187,T cell,0,D5
0.16329557,0.13357162,Macrophage,0,D5
0.2421937,0.13845074,B cell,0,D5
0.28636456,0.2429499,T cell,0,D5
0.29723924,0.2791891,T cell,0,D5
0.26502967,0.2247321,T cell,0,D5
0.23374414,0.19371527,B cell,0,D5
0.36662132,0.30870163,T cell,0,D5
0.31390643,0.2961375,T cell,0,D5
0.27144825,0.27150953,NK cell,0,D5
0.27798343,0.25497448,T cell,0,D5
0.34341556,0.2925017,T cell,0,D5
0.33691317,0.3125813,B cell,0,D5
0.34698766,0.31514287,T cell,0,D5
0.28537983,0.23873854,B cell,0,D5
0.2444048,0.20594215,B cell,0,D5
0.2723158,0.2627917,T cell,0,D5
0.30495936,0.29355502,B cell,0,D5
0.32540703,0.30108958,T cell,0,D5
0.14082551,0.12006831,Macrophage,0,D5
0.22310454,0.1633408,pDC,1,D5
0.32144827,0.3111323,NK cell,0,D5
0.36544514,0.3175789,T cell,0,D5
0.19558156,0.1405198,Dendritic cell,0,D5
0.35842955,0.29584855,T cell,0,D5
0.29813892,0.21912187,B cell,0,D5
0.35196573,0.2911929,T cell,0,D5
0.23275661,0.20236796,pDC,1,D5
0.28061837,0.19382608,B cell,0,D5
0.27121913,0.24390376,T cell,0,D5
0.26083058,0.24899799,T cell,0,D5
