cluster,size,survival_std,survival_sel,improvement
NK cell_15,73,0.9452054794520548,0.9178082191780822,-0.0273972602739726
Mast_0,252,0.8253968253968254,0.9365079365079365,0.11111111111111116
Mast_7,102,0.8333333333333334,0.696078431372549,-0.13725490196078438
Macrophage_30,113,0.8849557522123894,0.5486725663716814,-0.33628318584070804
B cell_18,115,0.9478260869565217,0.9739130434782609,0.026086956521739202
Mast_3,181,0.5248618784530387,0.9281767955801105,0.4033149171270718
Mast_1,204,0.7990196078431373,0.8774509803921569,0.07843137254901955
Macrophage_16,835,0.24431137724550897,0.7173652694610778,0.4730538922155688
Mast_13,25,1.0,1.0,0.0
T cell_4,2598,0.6012317167051578,0.9888375673595073,0.3876058506543495
T cell_7,1953,0.4541730670762929,0.9692780337941628,0.5151049667178699
B cell_15,129,0.9302325581395349,0.5658914728682171,-0.3643410852713178
T cell_17,736,0.6032608695652174,0.5095108695652174,-0.09375
Mast_10,49,0.3673469387755102,0.5102040816326531,0.14285714285714285
Macrophage_23,663,0.8944193061840121,0.9125188536953243,0.018099547511312153
Plasma cell_18,77,0.935064935064935,0.961038961038961,0.025974025974025983
Plasma cell_3,533,0.5647279549718575,0.9906191369606003,0.4258911819887429
pDC_8,92,0.782608695652174,0.8152173913043478,0.032608695652173836
Mast_9,60,0.3,0.6166666666666667,0.3166666666666667
NK cell_6,375,0.6426666666666667,0.808,0.16533333333333333
Dendritic cell_18,81,0.8271604938271605,0.8888888888888888,0.061728395061728336
NK cell_11,161,0.6273291925465838,0.3105590062111801,-0.3167701863354037
T cell_23,394,0.9238578680203046,0.9517766497461929,0.027918781725888353
NK cell_2,594,0.4090909090909091,0.9814814814814815,0.5723905723905724
Plasma cell_17,88,0.9659090909090909,1.0,0.03409090909090906
T cell_16,801,0.9488139825218477,0.9637952559300874,0.014981273408239737
Dendritic cell_10,258,0.8449612403100775,0.9922480620155039,0.1472868217054264
pDC_12,21,1.0,0.6190476190476191,-0.38095238095238093
B cell_10,263,0.43346007604562736,0.9847908745247148,0.5513307984790874
NK cell_10,192,0.6822916666666666,0.9947916666666666,0.3125
B cell_11,258,0.5,0.9612403100775194,0.4612403100775194
T cell_22,462,0.9199134199134199,0.829004329004329,-0.09090909090909094
B cell_16,119,0.5462184873949579,0.907563025210084,0.3613445378151261
Plasma cell_22,10,1.0,1.0,0.0
